distribution,branch,q,density,acceptance,effective_density
raw_beta_recoil_complex,raw,0.4,0.44641989304722784,1.0,0.44641989304722784
raw_beta_recoil_complex,raw,0.4025,0.44666882043146494,1.0,0.44666882043146494
raw_beta_recoil_complex,raw,0.405,0.4469167711504365,1.0,0.4469167711504365
raw_beta_recoil_complex,raw,0.40750000000000003,0.44716375849311135,1.0,0.44716375849311135
raw_beta_recoil_complex,raw,0.41000000000000003,0.4474097955175546,1.0,0.4474097955175546
raw_beta_recoil_complex,raw,0.41250000000000003,0.4476548950565026,1.0,0.4476548950565026
raw_beta_recoil_complex,raw,0.41500000000000004,0.44789906972277305,1.0,0.44789906972277305
raw_beta_recoil_complex,raw,0.4175,0.4481423319145138,1.0,0.4481423319145138
raw_beta_recoil_complex,raw,0.42,0.4483846938202987,1.0,0.4483846938202987
raw_beta_recoil_complex,raw,0.4225,0.4486261674240739,1.0,0.4486261674240739
raw_beta_recoil_complex,raw,0.425,0.44886676450996066,1.0,0.44886676450996066
raw_beta_recoil_complex,raw,0.4275,0.4491064966669192,1.0,0.4491064966669192
raw_beta_recoil_complex,raw,0.43,0.44934537529328,1.0,0.44934537529328
raw_beta_recoil_complex,raw,0.4325,0.44958341160114373,1.0,0.44958341160114373
raw_beta_recoil_complex,raw,0.435,0.44982061662065886,1.0,0.44982061662065886
raw_beta_recoil_complex,raw,0.4375,0.45005700120417713,1.0,0.45005700120417713
raw_beta_recoil_complex,raw,0.44,0.4502925760302925,1.0,0.4502925760302925
raw_beta_recoil_complex,raw,0.4425,0.4505273516077687,1.0,0.4505273516077687
raw_beta_recoil_complex,raw,0.445,0.4507613382793569,1.0,0.4507613382793569
raw_beta_recoil_complex,raw,0.4475,0.45099454622550905,1.0,0.45099454622550905
raw_beta_recoil_complex,raw,0.45,0.4512269854679892,1.0,0.4512269854679892
raw_beta_recoil_complex,raw,0.4525,0.4514586658733859,1.0,0.4514586658733859
raw_beta_recoil_complex,raw,0.455,0.451689597156531,1.0,0.451689597156531
raw_beta_recoil_complex,raw,0.4575,0.4519197888838249,1.0,0.4519197888838249
raw_beta_recoil_complex,raw,0.46,0.45214925047647353,1.0,0.45214925047647353
raw_beta_recoil_complex,raw,0.4625,0.4523779912136392,1.0,0.4523779912136392
raw_beta_recoil_complex,raw,0.465,0.4526060202355081,1.0,0.4526060202355081
raw_beta_recoil_complex,raw,0.4675,0.45283334654627644,1.0,0.45283334654627644
raw_beta_recoil_complex,raw,0.47000000000000003,0.4530599790170589,1.0,0.4530599790170589
raw_beta_recoil_complex,raw,0.47250000000000003,0.45328592638872217,1.0,0.45328592638872217
raw_beta_recoil_complex,raw,0.47500000000000003,0.453511197274643,1.0,0.453511197274643
raw_beta_recoil_complex,raw,0.47750000000000004,0.4537358001633977,1.0,0.4537358001633977
raw_beta_recoil_complex,raw,0.48,0.45395974342138096,1.0,0.45395974342138096
raw_beta_recoil_complex,raw,0.4825,0.45418303529535864,1.0,0.45418303529535864
raw_beta_recoil_complex,raw,0.485,0.4544056839149562,1.0,0.4544056839149562
raw_beta_recoil_complex,raw,0.4875,0.454627697295084,1.0,0.454627697295084
raw_beta_recoil_complex,raw,0.49,0.45484908333830204,1.0,0.45484908333830204
raw_beta_recoil_complex,raw,0.4925,0.45506984983712495,1.0,0.45506984983712495
raw_beta_recoil_complex,raw,0.495,0.45529000447627194,1.0,0.45529000447627194
raw_beta_recoil_complex,raw,0.4975,0.45550955483485844,1.0,0.45550955483485844
raw_beta_recoil_complex,raw,0.5,0.4557285083885367,1.0,0.4557285083885367
