distribution,branch,q,density,acceptance,effective_density
accepted_beta_recoil,case_I_forward,0.315,0.47047942597399145,0.006786635284974866,0.0071889155781583
accepted_beta_recoil,case_I_forward,0.3175,0.4706491823358298,0.0069309696456877345,0.007344454449621429
accepted_beta_recoil,case_I_forward,0.32,0.4708178634651349,0.007078059041406675,0.007503006962841626
accepted_beta_recoil,case_I_forward,0.3225,0.4709854864355213,0.0072279487265724356,0.007664623454832516
accepted_beta_recoil,case_I_forward,0.325,0.47115206793290726,0.00738068453767425,0.007829354924934905
accepted_beta_recoil,case_I_forward,0.3275,0.47131762426730256,0.007536312897341017,0.007997253039779478
accepted_beta_recoil,case_I_forward,0.33,0.47148217138415266,0.007694880818387485,0.008168370138204874
accepted_beta_recoil,case_I_forward,0.3325,0.4716457248752571,0.007856435907813299,0.008342759236128788
accepted_beta_recoil,case_I_forward,0.335,0.4718082999892828,0.008021026370752903,0.008520474031369855
accepted_beta_recoil,case_I_forward,0.3375,0.47196991164189006,0.008188701014374074,0.008701568908417875
accepted_beta_recoil,case_I_forward,0.34,0.4721305744254869,0.008359509251723067,0.00888609894315013
accepted_beta_recoil,case_I_forward,0.3425,0.47229030261863003,0.008533501105514206,0.009074119907491355
accepted_beta_recoil,case_I_forward,0.34500000000000003,0.4724491101950851,0.008710727211861743,0.009265688274014961
accepted_beta_recoil,case_I_forward,0.34750000000000003,0.4726070108325647,0.00889123882395172,0.009460861220483006
accepted_beta_recoil,case_I_forward,0.35000000000000003,0.47276401792115375,0.00907508781565156,0.009659696634322338
accepted_beta_recoil,case_I_forward,0.3525,0.4729201445714378,0.009262326685055377,0.009862253117034666
accepted_beta_recoil,case_I_forward,0.355,0.47307540362234796,0.009453008557962335,0.010068589988537652
accepted_beta_recoil,case_I_forward,0.3575,0.47322980764873046,0.00964718719128602,0.010278767291434609
accepted_beta_recoil,case_I_forward,0.36,0.4733833689686565,0.009844916976392426,0.010492845795210242
accepted_beta_recoil,case_I_forward,0.3625,0.47353609965048027,0.01004625294236412,0.010710887000349653
accepted_beta_recoil,case_I_forward,0.365,0.47368801151965645,0.010251250759188094,0.010932953142377801
accepted_beta_recoil,case_I_forward,0.3675,0.47383911616532703,0.010459966740865344,0.01115910719581722
accepted_beta_recoil,case_I_forward,0.37,0.4739894249466875,0.010672457848439022,0.011389412878060503
accepted_beta_recoil,case_I_forward,0.3725,0.47413894899913844,0.010888781692939341,0.011623934653155397
accepted_beta_recoil,case_I_forward,0.375,0.47428769924023545,0.011108996538242306,0.011862737735499345
accepted_beta_recoil,case_I_forward,0.3775,0.4744356863754414,0.01133316130384008,0.012105888093440877
accepted_beta_recoil,case_I_forward,0.38,0.47458292090369075,0.011561335567520096,0.012353452452784675
accepted_beta_recoil,case_I_forward,0.3825,0.4747294131227734,0.011793579567950659,0.012605498300197743
accepted_beta_recoil,case_I_forward,0.385,0.4748751731345444,0.012029954207170289,0.012862093886513557
accepted_beta_recoil,case_I_forward,0.3875,0.47502021084996626,0.01227052105297825,0.013123308229931317
accepted_beta_recoil,case_I_forward,0.39,0.47516453599399067,0.01251534234122368,0.013389211119107385
accepted_beta_recoil,case_I_forward,0.3925,0.47530815811028576,0.01276448097799041,0.013659873116135594
accepted_beta_recoil,case_I_forward,0.395,0.47545108656581414,0.013018000541675333,0.013935365559413975
accepted_beta_recoil,case_I_forward,0.3975,0.47559333055526826,0.013275965284957045,0.014215760566394257
accepted_beta_recoil,case_I_forward,0.4,0.47573489910536737,0.013538440136652344,0.014501131036211328
accepted_beta_recoil,case_I_forward,0.4025,0.4758758010790221,0.013805490703458071,0.014791550652189775
accepted_beta_recoil,case_I_forward,0.405,0.47601604517937146,0.014077183271574843,0.015087093884223697
accepted_beta_recoil,case_I_forward,0.40750000000000003,0.47615563995369625,0.014353584808210888,0.015387835991027604
accepted_beta_recoil,case_I_forward,0.41000000000000003,0.47629459379721373,0.014634762962962419,0.015693853022254407
accepted_beta_recoil,case_I_forward,0.41250000000000003,0.4764329149567589,0.014920786069067842,0.016005221820477467
accepted_beta_recoil,case_I_forward,0.41500000000000004,0.4765706115343542,0.015211723144533692,0.01632202002303414
accepted_beta_recoil,case_I_forward,0.4175,0.4767076914906741,0.015507643893128366,0.016644326063726504
accepted_beta_recoil,case_I_forward,0.42,0.47684416264840673,0.015808618705241834,0.016972219174377058
accepted_beta_recoil,case_I_forward,0.4225,0.47698003269551636,0.016114718658607762,0.01730577938623535
accepted_beta_recoil,case_I_forward,0.425,0.47711530918841133,0.016426015518885544,0.017645087531232683
accepted_beta_recoil,case_I_forward,0.4275,0.47724999955501907,0.016742581740099346,0.017990225243081498
accepted_beta_recoil,case_I_forward,0.43,0.47738411109777285,0.017064490464931015,0.018341274958215956
accepted_beta_recoil,case_I_forward,0.4325,0.4775176509965123,0.017391815524864462,0.01869831991657078
accepted_beta_recoil,case_I_forward,0.435,0.4776506263113017,0.017724631440177767,0.01906144416219423
accepted_beta_recoil,case_I_forward,0.4375,0.4777830439851679,0.018063013419781275,0.01943073254369307
accepted_beta_recoil,case_I_forward,0.44,0.477914910846761,0.018407037360897553,0.019806270714504828
accepted_beta_recoil,case_I_forward,0.4425,0.47804623361294013,0.018756779848581023,0.02018814513299484
accepted_beta_recoil,case_I_forward,0.445,0.47817701889128766,0.01911231815507433,0.02057644306237458
accepted_beta_recoil,case_I_forward,0.4475,0.4783072731825538,0.019473730238997813,0.02097125257043727
accepted_beta_recoil,case_I_forward,0.45,0.478437002883032,0.01984109474437027,0.021372662529108393
accepted_beta_recoil,case_I_forward,0.4525,0.4785662142868722,0.020214490999457,0.02178076261380674
