study_id,source_title,source_url,doi,source_file,source_file_sha256,source_figure,source_panel,setup,theta_pi,purity,observable,alpha_deg,value,extraction_method,extracted_by,extraction_date,point_id,pixel_x,pixel_y,pixel_count,component_width,component_height,notes
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,15.482726865909001,0.41577766966097474,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_33,2070.915538362347,735.5976789168278,1551,63.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,17.433808603961054,0.46575532801778496,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_34,2104.9293966623877,678.5731707317074,1558,61.0,40.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,19.413718189298464,0.5192164822015342,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_35,2139.4458204334364,617.5739938080495,1615,63.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,21.421534918874983,0.5636997485650018,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_36,2174.448758752387,566.8185868873329,1571,63.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,23.428739126200142,0.6119020989536952,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_37,2209.441018766756,511.81970509383376,1492,63.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,25.39844094719811,0.654683813119396,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_38,2243.779487179487,463.0057692307692,1560,63.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,27.39083854744031,0.6948520593694975,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_39,2278.513618677043,417.1738002594034,1542,63.0,41.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,29.40960497945568,0.7312833320901784,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_40,2313.7074468085107,375.6057180851064,1504,63.0,40.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,63.16178849830857,0.7338266028450078,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_41,2902.120512820513,372.70384615384614,1560,62.0,42.0,connected colored marker component
CORMANN_2016_VISIBILITY_PHASE,Revealing geometric phases in modular and weak values with a quantum eraser,https://arxiv.org/abs/1508.01353,https://doi.org/10.1103/PhysRevA.93.042124,VisibilityPhaseMeasurement.eps,d9807edf7e9e2c13a2905223df3d80d403d7bf6ee8e169c6323183c85e64820a,Fig.2a,visibility_vs_postselected_angle,setup_1,0.499,0.882,visibility,65.19239885203751,0.6980233013175559,calibrated_component_scout_v1,Codex,2026-04-28,Fig.2a_setup_1_42,2937.5208199871877,413.5554131966688,1561,62.0,42.0,connected colored marker component
