study_id,figure,series_type,branch,marker,d_over_lambda,point_index,nbar,visibility,pixel_x,pixel_y,extraction_method,source_file
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,43,6.5184752775101735,0.5936859871417102,303.7202,511.3198,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,44,6.67114047978255,0.5879483009996576,306.8398,510.6001,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,45,6.823835044512085,0.5822621383120586,309.96,509.8799,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,46,6.964765051405274,0.5785029880568844,312.8398,509.3999,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,47,7.117459616134807,0.5747681073011522,315.96,508.9199,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,48,7.270149287121486,0.5692094128373688,319.0801,508.1997,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,49,7.42283895810816,0.565534532454938,322.2002,507.7197,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,50,7.575528629094838,0.5600689164222247,325.3203,507.0,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,51,7.728218300081514,0.5564530481190114,328.4404,506.52,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,52,7.880863927382447,0.5528605242707446,331.5596,506.04,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,53,8.033553598369126,0.5492919353683208,334.6797,505.5601,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,54,8.17448849900517,0.5457456444743418,337.5596,505.0801,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,55,8.327178169991848,0.542222248835681,340.6797,504.6001,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,56,8.479867840978525,0.5387216006379797,343.7998,504.1201,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,57,8.6325575119652,0.5352435530211852,346.9199,503.6401,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,58,8.785247182951878,0.5317886776601258,350.04,503.1602,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,59,8.937941747681412,0.5283518250186634,353.1602,502.6797,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,60,9.09063141866809,0.5249407258467365,356.2803,502.1997,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,61,9.243321089654765,0.5215516491170719,359.4004,501.7197,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,62,9.395961823212838,0.5198674291994788,362.5195,501.48,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,63,9.536945661277489,0.5148396899009958,365.4004,500.7598,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,64,9.689586394835562,0.5131764520954633,368.5195,500.52,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,65,9.842276065822237,0.5098633268484117,371.6396,500.04,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,66,10.006725400902406,0.5082134225415071,375.0,499.7998,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,67,10.147660301538453,0.5049323391748843,377.8799,499.3198,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,68,10.300349972525128,0.5016724388537724,381.0,498.8398,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,69,10.453039643511804,0.5000524138475135,384.1201,498.6001,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,70,10.605729314498483,0.49843425739687247,387.2402,498.3599,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,71,10.758423879228019,0.4952163094270585,390.3604,497.8799,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,72,10.911064612786088,0.4920191368934882,393.4795,497.3999,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,73,11.063754283772766,0.49043028479878964,396.5996,497.1602,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,74,11.216443954759441,0.4872607238612002,399.7197,496.6797,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,75,11.36913362574612,0.48568658248676005,402.8398,496.4399,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,76,11.510068526382167,0.4841149134883169,405.7197,496.1997,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,77,11.662758197368845,0.4809894128231888,408.8398,495.7197,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,78,11.81545276209838,0.4794361784491827,411.96,495.48,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,79,11.968142433085056,0.47634088422692444,415.0801,495.0,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,80,12.120832104071733,0.4747994576620866,418.2002,494.7598,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,81,12.273521775058407,0.47326557357443627,421.3203,494.52,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,82,12.426211446045086,0.471734098633933,424.4404,494.2798,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,83,12.578857073346017,0.47021011747553076,427.5596,494.04,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,84,12.719836017667808,0.46717501814510926,430.4404,493.5601,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,85,12.872481644968738,0.4656626237234864,433.5596,493.3198,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,86,13.02517131595542,0.4641588833612779,436.6797,493.0801,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,87,13.177860986942095,0.4626562531291873,439.7998,492.8398,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,88,13.330550657928772,0.46116222108492383,442.9199,492.6001,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,89,13.483240328915446,0.4596699122745357,446.04,492.3599,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,90,13.635934893644981,0.4581849055993357,449.1602,492.1201,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,91,13.788624564631661,0.4567022313035012,452.2803,491.8799,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,92,13.941314235618337,0.45522681199944337,455.4004,491.6401,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,93,14.082249136254386,0.45375371001664544,458.2803,491.3999,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,94,14.234938807241061,0.4522884264970061,461.4004,491.1602,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,95,14.387579540799134,0.45082422471687966,464.5195,490.9199,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,96,14.540269211785809,0.44936536939065946,467.6396,490.6797,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,97,14.692963776515343,0.44791365250571735,470.7598,490.4399,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,98,14.845653447502025,0.4464642157145706,473.8799,490.1997,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
KOKOROWSKI_2001_MULTIPHOTON_SCATTERING,Figure 3,paper_theory_curve,triangle_d_over_lambda_006,triangle,0.06,99,14.9983431184887,0.4450224717839893,477.0,489.96,eps_vector_path_extraction_v1,outputs/tmp/kokorowski_source/extracted/figure3.eps
