sample_id,linear_rmse,published_bound_rmse,scaled_loss_rmse,linear_beats_bound,linear_beats_scaled_loss,linear_intercept,linear_slope,loss_momentum_pearson_r,all_points_above_bound,monotone,best_model
148,0.00787937346949439,0.07363633586602214,0.02196629406005604,True,True,0.0388806192704587,0.7008054548366671,0.9993258937101208,True,True,linear_bandwidth
149,0.008016253869114013,0.06652693247725228,0.01964411245220659,True,True,0.03410176244692,0.6957807771114638,0.9992973387205906,True,True,linear_bandwidth
150,0.0037748017983079874,0.07436544489222792,0.02509215331835313,True,True,0.04687620347939445,0.6889845735424934,0.9998392268446201,True,True,linear_bandwidth
151,0.0053220538101967545,0.0710657532315128,0.02119464610180467,True,True,0.03884620089511741,0.6969913672595847,0.9996863886983285,True,True,linear_bandwidth
152,0.0051532637080059845,0.07235403016821587,0.027359787629919717,True,True,0.05067099627353164,0.6784369257582145,0.9996892653041869,True,True,linear_bandwidth
153,0.003990626897729762,0.06457344977865279,0.023820915539318224,True,True,0.04410822609969551,0.6756754866908873,0.9998176396524424,True,True,linear_bandwidth
154,0.01034966424460048,0.07131822690263374,0.02487354913386425,True,True,0.042954686846986355,0.6891835498141746,0.9987801470089361,True,True,linear_bandwidth
155,0.0056602350348407835,0.06890098116695312,0.026304482339240744,True,True,0.048063017309567954,0.6763050290331715,0.9996370795260019,True,True,linear_bandwidth
156,0.0077135011387186566,0.06272793235916736,0.01926851202292787,True,True,0.03349985795904263,0.6902376751146068,0.9993380022939999,True,True,linear_bandwidth
157,0.008637632267238874,0.06827392458715424,0.023340837852798967,True,True,0.04093067986416905,0.6873057905497856,0.9991672915071663,True,True,linear_bandwidth
158,0.008658310679796517,0.07065287433835536,0.02173864381336866,True,True,0.03817131608820284,0.6970303941119415,0.9991430390442199,True,True,linear_bandwidth
159,0.0076391233931051615,0.06888887755876029,0.020963636633852756,True,True,0.0369794420571989,0.6959146741877299,0.9993513979467242,True,True,linear_bandwidth
160,0.012936429954258248,0.0730482387692078,0.027032973900072883,True,True,0.044778925531196535,0.6882869331048858,0.9981273247561054,True,True,linear_bandwidth
161,0.0054219354771190996,0.0679385695813359,0.025813812667114886,True,True,0.04736037927124588,0.6758326190021142,0.9996640191635605,True,True,linear_bandwidth
162,0.006570965745513196,0.06923728202781552,0.020907892624796358,True,True,0.03781108096650017,0.6945967511985935,0.9995232002439824,True,True,linear_bandwidth
163,0.012094606145860512,0.07102719906149432,0.02741830571686827,True,True,0.04617532100571786,0.6825304838002222,0.9983383058127119,True,True,linear_bandwidth
164,0.0057266741496223425,0.06431201697111592,0.021070005322611194,True,True,0.03837600181722291,0.6849857924395064,0.99963147894662,True,True,linear_bandwidth
165,0.00560222807051264,0.06829890256003726,0.02347780404109035,True,True,0.04337185592554406,0.6838012729352572,0.9996358752988806,True,True,linear_bandwidth
166,0.007689162219655256,0.0676799230701122,0.02079370336196667,True,True,0.03634233296744339,0.6942951563529469,0.9993621694717094,True,True,linear_bandwidth
167,0.006000270301090852,0.06854264024701986,0.024075821445308915,True,True,0.043897444707585095,0.6829984984549078,0.9995961035941333,True,True,linear_bandwidth
168,0.004932377979826536,0.06849698973396624,0.019442197408512264,True,True,0.03558542221489374,0.6973527246552806,0.9997375263233008,True,True,linear_bandwidth
169,0.008634063994376545,0.06691716396142286,0.018255757861980547,True,True,0.030577791580686256,0.7028651454479397,0.9991883890787732,True,True,linear_bandwidth
