component,sample_id,calculated_independent_kappa_rmse,refit_kappa_from_digitized_points_rmse,passes_absolute_rmse_lt_005,passes_refit_ratio_lte_15,passes_no_refit_stress_gate
d_axis_only,66,0.02446669987578792,0.019836929415760048,True,True,True
d_axis_only,67,0.024096688798567092,0.019106152320758723,True,True,True
d_axis_only,68,0.024256305491207723,0.019077973141811165,True,True,True
d_axis_only,69,0.024521410741265914,0.019652250247683398,True,True,True
d_axis_only,70,0.025341498944117812,0.021530897184321954,True,True,True
d_axis_only,71,0.027217678677647465,0.02136812375819342,True,True,True
d_axis_only,72,0.02135220880501426,0.017740499313568834,True,True,True
d_axis_only,73,0.023602798269891263,0.019656581642221612,True,True,True
d_axis_only,74,0.02441555869018057,0.01999770220474522,True,True,True
d_axis_only,75,0.02636364633074801,0.020394012456170514,True,True,True
d_axis_only,76,0.024534505399740014,0.020030147764511116,True,True,True
d_axis_only,77,0.023416022689368866,0.0195139488298829,True,True,True
d_axis_only,78,0.025539849428329136,0.020963436048694557,True,True,True
d_axis_only,79,0.024507408781289212,0.019800055040232422,True,True,True
d_axis_only,80,0.023759174816671266,0.020010500584177974,True,True,True
d_axis_only,81,0.02430202857818837,0.018611224580902985,True,True,True
d_axis_only,82,0.022485987413680682,0.01867158078614565,True,True,True
d_axis_only,83,0.023822875578703242,0.018982214569753696,True,True,True
d_axis_only,84,0.025824370629931533,0.02016079108309395,True,True,True
d_axis_only,85,0.02470676884322241,0.01894845722237698,True,True,True
d_axis_only,86,0.02625484388325831,0.021285181552974784,True,True,True
d_axis_only,87,0.026043881802296956,0.020989494540623578,True,True,True
d_axis_only,88,0.02600243492892198,0.02147942702701984,True,True,True
d_axis_only,89,0.026025959551705183,0.0209909304098557,True,True,True
d_axis_only,90,0.02555882801475434,0.01906650890812941,True,True,True
d_axis_only,91,0.024548705573628152,0.02043602042551687,True,True,True
d_axis_only,92,0.02437364569936897,0.01962001986583866,True,True,True
d_axis_only,93,0.02446552202723782,0.021263867926039248,True,True,True
d_axis_only,94,0.025242281763942807,0.02042392527024029,True,True,True
d_axis_only,95,0.024853787033579634,0.020112447613501352,True,True,True
d_axis_only,96,0.02491227268349191,0.02026447391275495,True,True,True
d_axis_only,97,0.024548978879545783,0.02031402677629929,True,True,True
d_axis_only,98,0.025278712903804797,0.019024965970317016,True,True,True
d_axis_only,99,0.02548952061199639,0.02094557397139288,True,True,True
d_axis_only,100,0.02583291807274139,0.019702387365946848,True,True,True
d_axis_only,101,0.02365873814544534,0.020543893895980537,True,True,True
d_axis_only,102,0.02429453838462624,0.0193533827801537,True,True,True
d_axis_only,103,0.024301512460696742,0.019988281730411984,True,True,True
d_axis_only,104,0.024344322016445867,0.018779146600629334,True,True,True
d_axis_only,105,0.02481315214878953,0.01956750819908852,True,True,True
d_axis_only,106,0.026369847912615273,0.02189726760026648,True,True,True
d_axis_only,107,0.023933800318170703,0.018538977751988955,True,True,True
d_axis_only,108,0.022880125456676868,0.02020813144315917,True,True,True
d_axis_only,109,0.024876974206783305,0.02086525729399403,True,True,True
d_axis_only,110,0.02483589603394231,0.020009540050364646,True,True,True
d_axis_only,111,0.02524768269174711,0.02121868640657656,True,True,True
d_axis_only,112,0.024990379585795724,0.018915142361069188,True,True,True
d_axis_only,113,0.025169094268758133,0.02052367078237241,True,True,True
d_axis_only,114,0.023188063319209775,0.017948608570768666,True,True,True
d_axis_only,115,0.022724498871086258,0.01827645037721793,True,True,True
d_axis_only,116,0.02408670976475201,0.020309111392407785,True,True,True
d_axis_only,117,0.024814092513403413,0.019670749566446568,True,True,True
d_axis_only,118,0.024948780813548302,0.020666602746784224,True,True,True
d_axis_only,119,0.02458637988547406,0.021178996840496456,True,True,True
d_axis_only,120,0.024192000970509796,0.020887670638187788,True,True,True
d_axis_only,121,0.025006884914549193,0.018564119311211224,True,True,True
d_axis_only,122,0.026320273457442225,0.020352876324375525,True,True,True
d_axis_only,123,0.022228904040483492,0.01890008206932351,True,True,True
d_axis_only,124,0.02478863068475933,0.02002083543943943,True,True,True
d_axis_only,125,0.02556021383337305,0.02002946366838101,True,True,True
d_axis_only,126,0.02293597047148388,0.0190060800841155,True,True,True
d_axis_only,127,0.024223670233352323,0.020006715317183496,True,True,True
d_axis_only,128,0.02308695123364619,0.018114215984472524,True,True,True
