sample_id,best_model,thermal_delta_T4_rmse,exp_power_rmse,exp_power2_rmse,thermal_delta_T4_delta_aicc,exp_power_delta_aicc,thermal_delta_T4_beats_exp_power,thermal_delta_T4_beats_exp_power2,thermal_delta_T4_best_model
773,exp_power2,0.07988103985607586,0.09256029592575041,0.07964318246966744,0.18488940012994703,9.31883813655935,True,False,False
774,exp_power2,0.07786392881042203,0.09242457827243951,0.07357075001159216,3.516346890056411,14.145015635342816,True,False,False
775,thermal_delta_T4,0.08671829882328405,0.10433123068337921,0.09194075541925045,0.0,11.464161327677658,True,True,True
776,thermal_delta_T4,0.0690058342219495,0.09008278487843778,0.0724669807070149,0.0,16.525357522883496,True,True,True
777,thermal_delta_T4,0.08517172372785259,0.1069781932161948,0.09351481726150737,0.0,14.13324188980286,True,True,True
778,thermal_delta_T4,0.09177201882520407,0.106203966471478,0.09233694259011743,0.0,9.055348734367215,True,True,True
779,thermal_delta_T4,0.07003022246432439,0.09558629328031813,0.08092836345646734,0.0,19.28835721256104,True,True,True
780,exp_power2,0.09703941735730925,0.10760812576426212,0.09577945389587449,0.8102821676862106,7.219774132824369,True,False,False
781,exp_power2,0.0910655296072932,0.10492413454687255,0.08943039074329144,1.1233648142868446,9.906173706775803,True,False,False
782,exp_power2,0.07981503655563632,0.08732610147556634,0.0754304990364515,3.503013949318728,9.079138292840668,True,False,False
783,thermal_delta_T4,0.08630668597811682,0.0986309985627057,0.0893106744585149,0.0,8.275668889883747,True,True,True
784,thermal_delta_T4,0.07043634453519498,0.09258203867458975,0.0796478750149689,0.0,16.949917646377855,True,True,True
785,thermal_delta_T4,0.08422174924909376,0.10259693723955177,0.08885330306275506,0.0,12.23600307523833,True,True,True
786,thermal_delta_T4,0.07283746276072034,0.08937989034275867,0.07427029957060656,0.0,12.689248316980326,True,True,True
787,thermal_delta_T4,0.07025891030743485,0.09461935156234932,0.08204203540004569,0.0,18.45584254887308,True,True,True
788,thermal_delta_T4,0.08494129463680553,0.09619204469734308,0.08570588342949859,0.0,7.71195011945494,True,True,True
789,thermal_delta_T4,0.08793348245056229,0.11061862245842566,0.09636685183060487,0.0,14.22948385795766,True,True,True
790,exp_power2,0.0775940790077385,0.09134262556995702,0.07645942809143284,0.9133142147292972,11.02715284561802,True,False,False
791,thermal_delta_T4,0.09408515223345092,0.10455839972894605,0.09682936610830194,0.0,6.543822075744828,True,True,True
792,thermal_delta_T4,0.08527451505800698,0.10229900108913151,0.08699058550516957,0.0,11.285504547687879,True,True,True
793,exp_power2,0.08927740558244687,0.10104463634666284,0.08681644068922913,1.7330504294579328,9.409513740072384,True,False,False
794,thermal_delta_T4,0.07213238955116646,0.08803117034833033,0.07539827096713207,0.0,12.34964272596136,True,True,True
795,exp_power2,0.0826340394700697,0.08821043952845091,0.07889515890844079,2.8707132800129784,6.9195378595245245,True,False,False
796,thermal_delta_T4,0.09030278301376087,0.10027246362791158,0.09266010927529575,0.0,6.492815930162919,True,True,True
797,thermal_delta_T4,0.0884481967566883,0.10444088039218193,0.09126489921114307,0.0,10.304656691890699,True,True,True
798,exp_power2,0.08333845395268784,0.09119238394400368,0.07340296079209703,7.8706397342089645,13.454440921267349,True,False,False
799,exp_power2,0.09706491855742344,0.10820696781452484,0.09595347668993102,0.7140268400068237,7.4513029531480015,True,False,False
800,thermal_delta_T4,0.07848789185471439,0.10064387827332946,0.08781068955342018,0.0,15.415925477177382,True,True,True
801,thermal_delta_T4,0.0834625035484122,0.10662884745945643,0.09474364749486575,0.0,15.187310284350445,True,True,True
802,thermal_delta_T4,0.07577510030322653,0.09013293806833797,0.07862624022292997,0.0,10.757987257834884,True,True,True
803,exp_power2,0.0840689972341411,0.08970117239341793,0.07650953061094454,5.841797548498107,9.862248420904592,True,False,False
804,exp_power2,0.09989894244995175,0.10716675615952773,0.09464270400202326,3.351119145598801,7.705192561462042,True,False,False
805,thermal_delta_T4,0.06851205020956924,0.08695037722685864,0.0717839383449378,0.0,14.776331905526575,True,True,True
806,thermal_delta_T4,0.07232818199262449,0.09829388467013814,0.08305469856070934,0.0,19.018374058768188,True,True,True
807,exp_power2,0.079355725662956,0.09259440606970773,0.07776559958443581,1.2549688308774023,10.820832815280909,True,False,False
808,thermal_delta_T4,0.0775174223350233,0.09933040349114584,0.08802165889634139,0.0,15.372837189613591,True,True,True
809,thermal_delta_T4,0.07087161545323488,0.10083497503722323,0.08664600474399224,0.0,21.862146297922237,True,True,True
810,thermal_delta_T4,0.08150701323255244,0.09969234934884184,0.08377707664343645,0.0,12.486791867082559,True,True,True
811,exp_power2,0.0888184524033127,0.0961603040963568,0.08526035382107443,2.5348615996419994,7.459038460659315,True,False,False
812,exp_power2,0.08299062948536719,0.09755577666139555,0.08286871476713598,0.09114607230262095,10.116333976539693,True,False,False
813,thermal_delta_T4,0.0857894555211051,0.10065598504407058,0.09066426063924989,0.0,9.90837570220691,True,True,True
814,thermal_delta_T4,0.08132763176829474,0.10934995793732818,0.09200117949585392,0.0,18.356186829209832,True,True,True
815,thermal_delta_T4,0.07841154742099644,0.09903107324595155,0.08726874867637653,0.0,14.474672954928593,True,True,True
816,thermal_delta_T4,0.07145956209191069,0.09071885895521646,0.0735988992050957,0.0,14.79527933657161,True,True,True
817,thermal_delta_T4,0.06931086471706756,0.09236115028795001,0.07704098351517241,0.0,17.800495546095647,True,True,True
818,thermal_delta_T4,0.08187644829352309,0.1002030936778706,0.08658847135545888,0.0,12.523236180002783,True,True,True
819,thermal_delta_T4,0.08189873803025995,0.09944390155826392,0.08252419794538805,0.0,12.03482617884049,True,True,True
820,exp_power2,0.09406263273067074,0.10380203657719714,0.09112036027116407,1.9703347716612427,8.07886770375191,True,False,False
821,thermal_delta_T4,0.07810741915518725,0.09291800640478458,0.07868749154017907,0.0,10.765209096957818,True,True,True
822,exp_power2,0.0827293323756294,0.0917934845549716,0.07759949741367299,3.9688229080570068,10.41478295368077,True,False,False
823,thermal_delta_T4,0.0801645088067156,0.09347266842724813,0.0805060786764738,0.0,9.522468023802958,True,True,True
