analysis_scope,distribution,branch,model,q,density,acceptance,effective_density,weight_zero_photon,weight_one_photon,weight_two_photon,velocity_sigma
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.23500000000000001,0.25379434644285703,1.0,0.25379434644285703,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.23750000000000002,0.25536744093325603,1.0,0.25536744093325603,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.24,0.2569331409622014,1.0,0.2569331409622014,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2425,0.2584915476284036,1.0,0.2584915476284036,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.245,0.2600427595282555,1.0,0.2600427595282555,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2475,0.2615868728421689,1.0,0.2615868728421689,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.25,0.26312398141708593,1.0,0.26312398141708593,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2525,0.26465417684537046,1.0,0.26465417684537046,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.255,0.2661775485402742,1.0,0.2661775485402742,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2575,0.26769418380815746,1.0,0.26769418380815746,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.26,0.2692041679176333,1.0,0.2692041679176333,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2625,0.27070758416579604,1.0,0.27070758416579604,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.265,0.27220451394168294,1.0,0.27220451394168294,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2675,0.27369503678710894,1.0,0.27369503678710894,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.27,0.27517923045500803,1.0,0.27517923045500803,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2725,0.2766571709654044,1.0,0.2766571709654044,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.275,0.2781289326591307,1.0,0.2781289326591307,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2775,0.2795945882494049,1.0,0.2795945882494049,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.28,0.2810542088713673,1.0,0.2810542088713673,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.28250000000000003,0.2825078641296781,1.0,0.2825078641296781,0.08,0.68,0.24,0.8
