analysis_scope,distribution,branch,q,density,acceptance,effective_density
all_phase_points,raw_beta_recoil_complex,raw,0.375,0.4630766274622684,1.0,0.4630766274622684
all_phase_points,raw_beta_recoil_complex,raw,0.3775,0.4643316014865321,1.0,0.4643316014865321
all_phase_points,raw_beta_recoil_complex,raw,0.38,0.46557932447300676,1.0,0.46557932447300676
all_phase_points,raw_beta_recoil_complex,raw,0.3825,0.46681985265629417,1.0,0.46681985265629417
all_phase_points,raw_beta_recoil_complex,raw,0.385,0.4680532413364382,1.0,0.4680532413364382
all_phase_points,raw_beta_recoil_complex,raw,0.3875,0.46927954489970364,1.0,0.46927954489970364
all_phase_points,raw_beta_recoil_complex,raw,0.39,0.47049881683875305,1.0,0.47049881683875305
all_phase_points,raw_beta_recoil_complex,raw,0.3925,0.471711109772247,1.0,0.471711109772247
all_phase_points,raw_beta_recoil_complex,raw,0.395,0.47291647546388343,1.0,0.47291647546388343
all_phase_points,raw_beta_recoil_complex,raw,0.3975,0.4741149648408993,1.0,0.4741149648408993
all_phase_points,raw_beta_recoil_complex,raw,0.4,0.4753066280120511,1.0,0.4753066280120511
all_phase_points,raw_beta_recoil_complex,raw,0.4025,0.4764915142850916,1.0,0.4764915142850916
all_phase_points,raw_beta_recoil_complex,raw,0.405,0.47766967218376144,1.0,0.47766967218376144
all_phase_points,raw_beta_recoil_complex,raw,0.40750000000000003,0.4788411494643108,1.0,0.4788411494643108
all_phase_points,raw_beta_recoil_complex,raw,0.41000000000000003,0.4800059931315676,1.0,0.4800059931315676
all_phase_points,raw_beta_recoil_complex,raw,0.41250000000000003,0.48116424945456643,1.0,0.48116424945456643
all_phase_points,raw_beta_recoil_complex,raw,0.41500000000000004,0.48231596398175414,1.0,0.48231596398175414
all_phase_points,raw_beta_recoil_complex,raw,0.4175,0.48346118155578405,1.0,0.48346118155578405
all_phase_points,raw_beta_recoil_complex,raw,0.42,0.4845999463279147,1.0,0.4845999463279147
all_phase_points,raw_beta_recoil_complex,raw,0.4225,0.48573230177202364,1.0,0.48573230177202364
all_phase_points,raw_beta_recoil_complex,raw,0.425,0.48685829069825043,1.0,0.48685829069825043
all_phase_points,raw_beta_recoil_complex,raw,0.4275,0.4879779552662796,1.0,0.4879779552662796
all_phase_points,raw_beta_recoil_complex,raw,0.43,0.4890913369982758,1.0,0.4890913369982758
all_phase_points,raw_beta_recoil_complex,raw,0.4325,0.49019847679148204,1.0,0.49019847679148204
all_phase_points,raw_beta_recoil_complex,raw,0.435,0.49129941493049134,1.0,0.49129941493049134
all_phase_points,raw_beta_recoil_complex,raw,0.4375,0.49239419109920235,1.0,0.49239419109920235
all_phase_points,raw_beta_recoil_complex,raw,0.44,0.4934828443924685,1.0,0.4934828443924685
