sample_id,raw_rmse_exponential,raw_rmse_gaussian_kernel,raw_rmse_sinc_fourier,raw_sinc_minus_exp_rmse,raw_sinc_beats_exp,raw_sinc_width,raw_sinc_first_zero,case_I_sinc_width,case_III_sinc_width,conditioned_widths_narrower_than_raw,peak_recoverable_loss_x,peak_recoverable_loss,peak_recovery_fraction_x,peak_recovery_fraction,raw_zero_to_peak_loss_distance,recovery_window_aligns_with_raw_zero
527,0.06573752021226247,0.06573750658801425,0.03274781419047177,-0.032989706021790695,True,1.9811111111111113,0.5047672462142456,0.943138888888889,1.0901666666666667,True,0.5,0.5894497654564534,0.4,0.7355323594184895,0.004767246214245624,True
528,0.07199512698703486,0.07199519809515398,0.03856011528833729,-0.03343501169869757,True,1.9723333333333335,0.5070136893696129,0.8816944444444446,1.4412777777777779,True,0.5,0.5482203988691972,0.0,0.9722658102648392,0.0070136893696128855,True
529,0.07037467562176311,0.07037467958692985,0.022772111904358086,-0.047602563717405025,True,2.0074444444444444,0.49814579066806886,0.9475277777777779,2.825972222222222,False,0.5,0.6389691123387478,0.4,0.6865886747963854,0.0018542093319311448,True
530,0.07481597702543792,0.07481597875146276,0.03153976231961521,-0.04327621470582271,True,1.954777777777778,0.5115671005513556,1.0462777777777779,1.3688611111111113,True,0.5,0.5537991449396995,0.0,1.0,0.01156710055135557,True
531,0.09594719528593253,0.09594717000555711,0.04836797801408283,-0.047579217271849696,True,1.9569722222222223,0.5109934564449049,0.9058333333333335,3.0585833333333334,False,0.5,0.6254117888930505,0.4,0.6867811871590727,0.010993456444904903,True
532,0.06887335592560281,0.0688733581456796,0.04408363276928681,-0.024789723156316,True,1.96575,0.5087116876510237,0.8795000000000001,1.4829722222222224,True,0.5,0.6401185227672999,0.4,0.7032920056818011,0.008711687651023703,True
533,0.08716441956226044,0.08716441939596822,0.026807488555702377,-0.06035693100655806,True,1.989888888888889,0.5025406220336144,1.0660277777777778,1.3798333333333335,True,0.5,0.6489949176349387,0.4,0.7891490169713888,0.0025406220336143814,True
534,0.08989648262315694,0.08989647240835942,0.0479599027868813,-0.04193657983627564,True,1.9789166666666669,0.5053269886722532,0.903638888888889,1.3535000000000001,True,0.5,0.6433362521198596,0.5,0.6877677820886889,0.00532698867225323,True
535,0.07159144823262208,0.07159141852182628,0.040905941317808815,-0.03068550691481326,True,1.9240555555555559,0.5197355123725925,0.9211944444444445,1.5268611111111112,True,0.5,0.5833289061933431,0.0,1.0,0.019735512372592523,True
536,0.0767342157701788,0.07673424389367843,0.033266145470094044,-0.04346807030008476,True,1.96575,0.5087116876510237,0.9277777777777779,1.456638888888889,True,0.5,0.6197214788403598,0.0,1.0,0.008711687651023703,True
537,0.07294742598551067,0.07294741369094204,0.04037762487180642,-0.03256980111370425,True,1.9284444444444446,0.5185526619036643,0.9080277777777779,2.9861666666666666,False,0.5,0.5958600196062107,0.4,0.7213206300404992,0.018552661903664336,True
538,0.08235548120822711,0.08235548110316142,0.04097532739170934,-0.04138015381651777,True,1.9613611111111113,0.5098500191193757,0.9211944444444445,1.504916666666667,True,0.5,0.6188228110025508,0.4,0.7704537753355523,0.009850019119375664,True
539,0.07428038920167414,0.07428039973093799,0.046318358026220696,-0.027962031175453442,True,1.9416111111111114,0.5150361955993018,0.903638888888889,1.5312500000000002,True,0.4,0.6220307909112833,0.0,1.0,0.11503619559930178,True
540,0.06481234786822605,0.06481232406534487,0.02651191903224642,-0.03830042883597963,True,1.9196666666666669,0.5209237714881055,0.8992500000000001,1.3842222222222225,True,0.5,0.6819900143521492,0.5,0.7114659091354599,0.020923771488105536,True
541,0.09981051211199375,0.09981054709142938,0.05278940186224226,-0.04702111024975149,True,1.9416111111111114,0.5150361955993018,0.8816944444444446,1.4412777777777779,True,0.5,0.5719233635634509,0.4,0.7116840311369345,0.015036195599301805,True
542,0.07736313265619797,0.07736317877245852,0.04087438445154629,-0.03648874820465168,True,1.9503888888888892,0.5127182613154071,0.7851388888888889,2.9993333333333334,False,0.5,0.6135001837202407,0.0,1.0,0.012718261315407098,True
543,0.07502109794263317,0.07502107531023189,0.02719485439529478,-0.047826243547338394,True,2.0074444444444444,0.49814579066806886,0.9080277777777779,1.8801666666666668,True,0.4,0.5797031413056282,0.0,1.0,0.09814579066806883,True
544,0.07936854018005156,0.07936857365726425,0.05056018103921803,-0.02880835914083353,True,1.959166666666667,0.5104210974053593,1.0594444444444446,1.4917500000000001,True,0.4,0.579133486950711,0.0,0.9510269069157044,0.11042109740535933,True
545,0.0778695460057762,0.07786952943890785,0.032533083477983074,-0.04533646252779312,True,1.8735833333333336,0.5337366009874126,0.8970555555555557,1.4939444444444445,True,0.5,0.586172245940529,0.4,0.7239977621654585,0.0337366009874126,True
546,0.08812959783172337,0.08812957226338813,0.03996027986557959,-0.048169317966143786,True,1.9833055555555557,0.5042087424193616,0.903638888888889,2.9883611111111112,False,0.5,0.6488181919438618,0.4,0.7494641825155985,0.004208742419361644,True
547,0.09506392099997923,0.09506391045471746,0.043656227072538974,-0.05140769392744026,True,2.000861111111111,0.4997848148713749,0.8795000000000001,1.4741944444444446,True,0.5,0.6437176345377809,0.0,1.0,0.00021518512862511718,True
548,0.08063736812127721,0.08063737531840158,0.04125203493974957,-0.03938533318152764,True,2.000861111111111,0.4997848148713749,0.8795000000000001,1.7748333333333335,True,0.5,0.74115046320563,0.0,0.8199376556056609,0.00021518512862511718,True
549,0.08255018835431234,0.08255017673646649,0.028631208736536115,-0.053918979617776225,True,1.959166666666667,0.5104210974053593,0.923388888888889,2.9269166666666666,False,0.5,0.6305441194879586,0.0,1.0,0.010421097405359347,True
550,0.08225693691947711,0.0822569308298247,0.031076185804270233,-0.051180751115206875,True,1.9767222222222225,0.5058879739186644,0.9343611111111112,2.9993333333333334,False,0.5,0.5936270847192148,0.0,1.0,0.005887973918664358,True
551,0.08363710209378951,0.08363710893827106,0.05275158195304908,-0.030885520140740426,True,1.9481944444444446,0.5132957866970842,0.9190000000000002,1.5422222222222224,True,0.4,0.6005950443079517,0.4,0.7235791379422839,0.11329578669708418,True
552,0.07722698640926105,0.07722697424381013,0.03567719074992354,-0.041549795659337516,True,2.020611111111111,0.4948997827939842,1.081388888888889,1.3951944444444446,True,0.5,0.6905249391722141,0.4,0.8041377991873566,0.005100217206015778,True
553,0.0969688301119616,0.09696882046046985,0.05239489445021303,-0.04457393566174857,True,1.9525833333333336,0.5121420340574452,0.8816944444444446,1.5224722222222224,True,0.5,0.6660439428488296,0.5,0.6660439428488296,0.012142034057445183,True
554,0.08318693350706784,0.08318691087167193,0.03427927492812354,-0.048907658578944295,True,1.9284444444444446,0.5185526619036643,0.883888888888889,1.3535000000000001,True,0.5,0.6272456697635569,0.2,0.913464015341324,0.018552661903664336,True
555,0.0706874802717337,0.07068748616672596,0.029671775801868083,-0.04101570446986562,True,1.935027777777778,0.5167884469071646,0.903638888888889,1.4500555555555557,True,0.5,0.6132512660075197,0.4,0.7156056461630931,0.016788446907164634,True
